art_style,painting,utterance
Northern_Renaissance,lucas-cranach-the-elder_the-three-graces,three woman stand naked with the one in the middle having her arms over the shoulders of both
High_Renaissance,raphael_angel-from-the-polyptych-of-st-nicolas-of-tolentino-1501,A person with a halo around their head is holding some sort of paper banner with words on it.
Realism,alekos-kontopoulos_figures-1,"A naked woman reclining, hand one knee, while the head of a man floats behind her."
Realism,vincent-van-gogh_head-of-a-peasant-woman-with-dark-cap-1885-3(1),An elderly woman with a pensive expression looks to her left. Her clothes are dark and her hair is covered by a dark cloth.
Realism,vasily-vereshchagin_on-the-bridge,"A man standing on a bridge on top of some water surrounded by trees, the area looks a bit dark"
Symbolism,nicholas-roerich_himalayas-52,View looking at the top of a mountain at sunrise or dusk.
Expressionism,nikolaos-lytras_the-artist-in-his-studio,"A man with old fashioned dress attire is sitting sideways on a chair, looking a bit forlorn and distressed."
Expressionism,serge-sudeikin_self-portrait-1946,A man in a white shirt holds a palette and paint brushes.
Realism,vasily-vereshchagin_chinese-riders,Two men who are sitting on top of horses carrying arrows on their backs.
Abstract_Expressionism,hans-hofmann_ecstasy-1947,"Red, black, white, gold, purple and blue designs cover each other."
Northern_Renaissance,pieter-bruegel-the-elder_man-of-war-between-two-galleys-1565,Below a cloud of four horses and carriage are four large boats moving by large sails.
Realism,vasily-surikov_belfry-ivan-the-great-1876,Russian architecture domes on a bright cool winter day.
Minimalism,ruth-vollmer_in-relation-three-to-four-1968,Four rectangular receptacles placed in a square formation with a metallic globular object nearby.
Realism,valentin-serov_haystack-1901-1,A very large bale of hay in front with a large log hut behind it
Romanticism,sir-lawrence-alma-tadema_master-john-parsons-millet-1889,The baby is all alone inside of this picture and his eyes look like they are watering.
Naive_Art_Primitivism,david-burliuk_gypsies-with-horse,Two mans holding a horse in front of a mill.
Expressionism,frank-auerbach_head-of-e-o-w-iv,President Washington is contemplating his big undertaking.
Realism,ivan-shishkin_rocks-on-the-island-of-valaam-kukko-1859,tall rocks form a cliff with a house in the background
High_Renaissance,correggio_the-mystic-marriage-of-st-catherine-of-alexandria-1518,Two young women entertain a young child outside.
Art_Nouveau_Modern,egon-schiele_single-houses-1915,A dark tall house. Different color walls of the outside house and trees all at the bottom to the painting.
Art_Nouveau_Modern,j.-e.-h.-macdonald_early-morning-rocky-mountains,A native American chief in the mountain watching over the land and its residents.
Romanticism,franz-richard-unterberger_the-last-day-of-the-harvest-1860,Farmers are harvesting hay against a county backdrop of open prairie and mostly clear blue skies. A lone house sits atop a small hill.
Symbolism,mikalojus-ciurlionis_journey-of-the-prince-ii-1907,An evil dragon forms from the clouds and annihilates the town below.
Expressionism,amedeo-modigliani_the-black-dress-1918,A lady in dark clothes is waiting in a gray room and seems very discontent.
Romanticism,fyodor-solntsev_polish-coat-of-peter-the-great,"An old country painting three men wearing the same outfit. Red long shirt the reaches below there knees. Light blue leggings. Brown pointy shoes. The one on the left is facing straight. The middle is the left side profile. And, the right guy you are looking at his back."
High_Renaissance,pietro-perugino_polyptych-of-st-peter-santa-flavia,A lady in her heavy velvet clothing sits in her dark quarters praying.
Impressionism,nikolay-bogdanov-belsky_swimming,A young group of children play in a natural stream.
Cubism,corneliu-michailescu_unknown-title,A man in a clown costume and a woman in a poofy dress stand side by side
Color_Field_Painting,morris-louis_blue-column-1960,"Three different vertical shades of color, the first being somewhat turquoise and the next two are hues of blue."
Post_Impressionism,henri-matisse_greta-moll-1908,European middle aged woman. She appears confidence in the way she is directing her eye. She looks well off in the clothes she is wearing and her body language.
Abstract_Expressionism,richard-diebenkorn_sausalito-1,The abstract figure of a being stands on a red surface holding an object over a green abyss.
Art_Nouveau_Modern,ferdinand-hodler_spring-1901,A naked man sits next to a woman wearing a blue dress in a field of yellow flowers
Realism,ivan-vladimirov_the-drunkard-1928,A man and woman stand outside a structure looking and pointing towards the sky.
Romanticism,cornelis-springer_st-michael-church-in-zwolle-1862,A horse drawn carriage and people walk by large brick and stone buildings.
Realism,boris-kustodiev_portrait-of-p-a-vlasov-1903,The founder of a large firm is contemplating the company's next move.
Realism,vincent-van-gogh_weaver-facing-right-interior-with-one-window-and-high-chair-1884,A man uses a printing press while a child watches close by.
Post_Impressionism,henri-de-toulouse-lautrec_clown-1886,A man in a nightgown turns on the light but does not notice the rat on his head.
Early_Renaissance,benozzo-gozzoli_saint-ursula-with-angels-and-donor-detail-4,"An angel wearing a green dress is holding a blanket, standing behind another angel"
Symbolism,nicholas-roerich_mount-of-five-treasures-two-worlds-1933,A snow and ice covered mountain stands above a lake and small rocky hills.
Cubism,louis-schanker_aerial-act-1940,An abstract horse and abstract people are dancing
Expressionism,david-bomberg_tregor-and-tregoff-cornwall-1947,Reddish-brown hills dominate the canvas.  There is a dark gray sky.
Impressionism,pierre-auguste-renoir_woman-in-a-blue-dress-standing-in-the-garden-of-saint-cloud-1899,The brilliant blue in the womans dress stands out against the deep greens and hues created to form the wooded back drop behind her
Romanticism,orest-kiprensky_portrait-of-grigory-grigorievich-kushelev-1827-1,Old bald man sat in a chair with a large bust on a plinth next to him
Color_Field_Painting,frank-stella_sabra-iii-1967,Two merging pie type shapes cut into roughly 1/24 sections with multiple colors
Expressionism,elaine-de-kooning_john-f-kennedy-1963,"A man seated with legs crossed, wearing slacks and a white shirt"
Pop_Art,valerio-adami_capriccio-1983,A drawing of a nude woman wearing gloves and carrying a red violin has her standing on green grass.
Ukiyo_e,utagawa-kuniyoshi_dragon,"Some weird, wild looking dragon is flying over the ocean."
Northern_Renaissance,albrecht-durer_five-lansquenets-and-an-oriental-on-horseback-1495,Men who are very muscular are carrying long spears and weapons
Realism,isaac-levitan_view-of-novodevichy-monastery-1899,A rolling green meadow with a village on the horizon.
High_Renaissance,michelangelo_ignudo-8,a nude man seated on a pillar clutching a bundle of acorns
Romanticism,ivan-aivazovsky_chumaks-leisure-1885,people gathered around a fire in front of a series of wagons on an open plain near a body of water
Romanticism,theodore-chasseriau_andromeda-chained-to-the-rock-by-the-nereids-1840,A naked woman is being chained to a rock by a group of people.
High_Renaissance,raphael_the-virgin-of-the-rose,"There is a woman holding two babies, all of which have halos. A man is watching them in the background."
Art_Nouveau_Modern,pablo-picasso_courtesan-with-necklace-of-gems-1901,A red haired woman wearing a yellow hat with gigantic black feather plumes sticking out of it.
Expressionism,lynd-ward_not-detected-272505,a large skull in the background with a naked woman in the for ground. They seem to be at different ends of a hallway.
Naive_Art_Primitivism,pablo-picasso_jacqueline-in-turkish-costume-1955,A weird painting of a woman wearing a fancy hat and some sort of clothes with gold color
Impressionism,childe-hassam_paris-street,Elegantly dressed people are walking on a leaf covered sidewalk in a city between two streets.
Realism,vincent-van-gogh_orphan-man-holding-top-hat-in-his-hand-1882,"An old man standing while holding a hat on his hand, hes also wearing a long coat and looks a bit sad."
Rococo,thomas-gainsborough_the-cottage-door-1,A quaint home with a large family who are sitting on the porch and a large tree shadowing the house.
Impressionism,camille-pissarro_the-louvre-winter-sunshine-morning-1900,I see adults and children walking along the river in the late afternoon.
Realism,ivan-shishkin_backwoods-1870,A heron is perced near a river that flows through the woods someplace.
Color_Field_Painting,mark-rothko_untitled-1949-1,The final minutes of the sunset over a field is reflected on a lake.
Cubism,lyonel-feininger_on-the-bridge-ober-weimar-1913,A man and a woman clad in black clothes are walking down a hill.
Post_Impressionism,pablo-picasso_portrait-of-jaime-sabartes-1904,A man with round glasses and sporting a mustache and coat stares blankly ahead.
Rococo,canaletto_piazza-san-marco-looking-east,People walk around and through a city center.
Abstract_Expressionism,jean-paul-riopelle_lithograph-1968,"Patches of green, black red, purple and beige form an abstract page."
Impressionism,pierre-auguste-renoir_vase-of-tulips-and-anemones,An ornamental vase with various types of flowers in it.
High_Renaissance,raphael_the-alba-madonna,A mother is sitting on the ground outside with a naked child on her lap and another child on the ground beside her. The child on her lap holds a crucifix.
Color_Field_Painting,gene-davis_half-lemon-1969,"Textured fabric striped material like, colorful, bright colors mostly sunshiny yellow."
Color_Field_Painting,terry-frost_may-1962-stays-1962,two globular beige shapes that are laced together with criss-crossing lines
Realism,aleksey-savrasov_at-the-cemetery-1884,Birds form a pattern in the sky high above as a church and houses and found below.
Impressionism,claude-monet_view-to-the-plain-of-argenteuil,a dirt path leading through a meadow toward a large body of choppy water
Symbolism,james-tissot_the-youth-of-jesus-illustration-for-the-life-of-christ,People watching as a young person does manual labor in the streets
Expressionism,max-beckmann_man-and-woman-1932,a nude woman laying down with her legs around a tree and a naked man in the background facing away
Realism,julius-leblanc-stewart_the-seine-at-bougival-1885(1),Several people and a dog are standing by some body of water talking to one another.
Impressionism,maurice-prendergast_lady-on-the-boulevard-1892,A smiling woman wearing green and purple with a black hat.
Impressionism,claude-monet_vetheuil-4,"A couple in a tiny boat on a calm sea, offshore from a rustic village."
Realism,fyodor-vasilyev_mountains-of-the-crimea-in-autumn,"Clouds cover the tops of mountains on a rugged, rocky terrain."
Art_Nouveau_Modern,anna-ostroumova-lebedeva_petersburg-fontanka-1922,Various buildings and trees are lined up on either side of some sort of river.
Mannerism_Late_Renaissance,maerten-van-heemskerck_lamentation-on-the-dead-christ-1566,Forlorn disciples attend to the body of Jesus Christ after his crucifixion.
Romanticism,taras-shevchenko_rusalkas-1857,Naked women - perhaps angels - hover above the water and in the sky.
Realism,boris-kustodiev_portrait-of-isaak-brodsky-1920,A artist is trying to find a spot to sell his work.
Impressionism,claude-monet_red-azaleas-in-a-pot,"Thin, tall painting. of what looks like some kind a plants that have bloomed a red, orange flower. There are two of the same plant in this painting."
Expressionism,ivan-albright_inland-sea-japan-1967,In the water below the mountains a boat is docking.
Baroque,rembrandt_jeremiah-mourning-over-the-destruction-of-jerusalem-1630,An old man with a beard looks like he is deep in thought about something.
Impressionism,berthe-morisot_red-haired-girl-sitting-on-a-veranda-1884,"An Impressionist painting shows a little girl with auburn hair sitting at a table arranging flowers in a bowl beside a pitcher of water. Through a window, a mansion is visible among green trees."
Expressionism,lucian-freud_seated-nude-1991,A well endowed naked older woman sits on a white sheet.
Expressionism,ligia-macovei_unknown-title-1,"A painting of a girl sitting on a chair close to a table with a vase with flowers, the whole painting have blue colors"
Symbolism,alfred-kubin_the-emperor-of-china-1910,A man in a robe watches across and arch in front of a shadowy temple.
Abstract_Expressionism,sam-francis_untitled-093-1994,The color mixture of this painting puts on display the emotions of the artist. It comes off as confused mixed with anger. With at a splash of pink to symbolize hope.
Realism,vincent-van-gogh_peasant-woman-head-1885-3,A black and white sketch of a man's head with messy hair.
Romanticism,orest-kiprensky_alexander-semyonovich-shishkov-1825,A sketch of a masculine presenting person in military garb sitting next to books.
Color_Field_Painting,walter-darby-bannard_cherokee-blanket-1964,A square mostly filled with the color pink and four diagonal red lines.
Impressionism,camille-pissarro_chestnut-trees-at-osny-1873,A vast farm field with two large trees on each side and a person walking in the distance.
Expressionism,chaim-soutine_portrait-of-a-woman,A woman with dark hair wearing white.
Post_Impressionism,vincent-van-gogh_the-grove-1890,"A bright green forest with yellow and green leaves, and white flowers."
Impressionism,alfred-sisley_sentier-de-la-mi-cote-louveciennes-1873,I see a lovely panorsmuc view of a house and a person walking down a lane in a village.
Color_Field_Painting,theodoros-stamos_spartan-sun-box-i,"A pink rectangle on a darker, pinkish-brown background."
Post_Impressionism,pierre-bonnard_little-girl-with-a-cat-1899,"A child is sitting at a table fondling a cat, whilst on the table are various food items and a napkin in a ring."
Post_Impressionism,vincent-van-gogh_ploughman-in-the-fields-near-arles-1888,A sketch of someone working the fields. The house looks like an adobe and the trees can be palm trees so it is probably somewhere south like Arizona or Texas.
Impressionism,pierre-auguste-renoir_georgette-charpentier-seated-1876,A young girl with rosy cheeks and red hair sitting in a chair.
Realism,nikolai-ge_portrait-of-natalia-petrunkevich,a woman standing by the window and reading a book
Post_Impressionism,theo-van-rysselberghe_funds-of-st-clair-1921,"A painting of abig tree in the mountain, surrounded by grass and plants,on the background you can see the mountains and the blue sky."
Ukiyo_e,utagawa-kuniyoshi_women-23,Japanese women standing in a creek spaces a couple feet apart.
Post_Impressionism,suzanne-valadon_woman-with-a-double-bass-1908,"A woman in a long plaid skirt plays a cello, seated in front of a grate and a mirror."
Expressionism,martiros-saryan_in-old-yerevan-1930,"Several people are walking around a town which has various differently shaped buildings, including a church."
Northern_Renaissance,hans-memling_passion-greverade-altarpiece-right-wing-1491,Jesus observes his followers placing his body in a tomb.
Art_Nouveau_Modern,jacek-malczewski_death-1911,"A poainting of a woman taking care of a man, she is like cleaning the top of his nose while he stares at her."
Impressionism,camille-pissarro_boats-sunset-rouen-1898,A fishing town is ready to send out their steam trollers out to sea
Symbolism,nicholas-roerich_himalayas-ladakh,A hillside village with blue and white mountains on the horizon.
Realism,james-tissot_journey-of-the-magi,The three men riding their camels in front of the convoy look very distinguished an important.
Post_Impressionism,vincent-van-gogh_cottages-in-saintes-maries-1888(1),Several houses with thatched roofs situated in a row.
Ukiyo_e,utagawa-kunisada_the-actor-in-female-role,"An Asian person who is rocking a very elaborate, over the top looking hairdo."
Realism,camille-corot_cowherd-and-her-child,Scenery painting looking out from tall grass. Looking at a lake with a person and a cow. I see hill in the distant. with some houses.
Realism,vasily-surikov_portrait-of-doctor-a-d-yesersky-1910,A bold man with a mustache and a beard is sitting in the armchair reading something.
Fauvism,endre-bartos_dancers-1975,"Two naked women, one orange and one red, party with another in blue and yellow clothes, agains a vivid background."
Realism,john-everett-millais_a-winter-s-tale,A group of people gathered around a man while he tells a story.
Post_Impressionism,grace-cossington-smith_yarralumla-1932,Colorful but dreary shades of coloring to depict someone's backyard. A simple but immature depiction of someone's view.
Post_Impressionism,theo-van-rysselberghe_renee-druet-with-violin-1910,A woman wearing a blue dress is holding a violin and a bow.
Art_Nouveau_Modern,mikhail-vrubel_princess-reverie-1896,A group of people standing on a boat facing toward a spectral creature.
Romanticism,john-hoppner_portrait-of-a-young-lady,"A woman in a very wide brimmed white hat, white dress and black shawl is posing for her portrait."
Early_Renaissance,fra-angelico_st-romuald-1440,Some kind of religious man holding an important book. Wearing a long white gown. He is bald with a full beard.
Realism,james-tissot_rear-of-the-mosque-of-omar-1889,Very old painting mostly white with some black for color and outline. I see houses.In the middle are trees
Impressionism,joaquã­n-sorolla_rocks-at-javea-the-white-boat-1905,Bright Blue water flowing down several large rocks.
Abstract_Expressionism,clyfford-still_1944-g-1944,"Black background with a white line acros the painting, also a littyle yellow line on the right top."
Symbolism,mikhail-vrubel_kampanules-1904,"A painting of shapes, using colors like pink, red, blue and yellow."
Impressionism,pierre-auguste-renoir_girls-on-the-seashore-1894,Two young girls laying next to each other on a hill looking out at the water. They are wearing long white dress with beautiful hats with flowers on top. On the boat are boats.
Realism,john-everett-millais_portrait-of-margaret-fuller-maitland,A beautiful little girl with red hair that is wearing a blue dress.
Pop_Art,patrick-caulfield_paris-separates-1973,"A black and white sign states ""Paris Separates"" and the strips of black and white alternate"
Realism,charles-francois-daubigny_banks-of-the-oise,"Heavy, thick rolls of clouds hang over the sky."
Impressionism,john-singer-sargent_morning-walk-1888,"A serene young woman from the Victorian era wearing a long white dress holds a white parasol above her straw hat, strolling beside a blue lake with lush green banks."
Realism,nicholas-roerich_hunting-the-bears,"Everything is drawn in charcoal and heavily shaded and I can make out the image of blackened, charred looking people."
Impressionism,eugene-boudin_the-spanish-quay-in-rotterdam-sun-1879,"A painting of the harbor with a lot of boats and also some ships aroun, the sky is cloudy and a bit dark."
Realism,ivan-shishkin_on-the-shore-of-the-gulf-of-finland-udrias-near-narva-1889,"A portrait of the sea close to a cliff, on the left side you can see people walking by a path and on the right the sea"
Realism,odilon-redon_bouquet-of-flowers-1,A blue vase holds a large variety of flowers.
Naive_Art_Primitivism,pablo-picasso_seated-man-playing-flute-1967,A dis-proportionated naked woman showing all her glory and a man on the side of her playing a flute for her.
Impressionism,berthe-morisot_willows-in-the-garden-at-bougival,An impressionist grey-green tree stands in a sweeping golden field.
Expressionism,dimitris-mytaras_shells,"A blue background that looks like the sky with some sort of shades of blue, there is also some sort of colored shells"
Romanticism,dante-gabriel-rossetti_dante-s-dream-at-the-time-of-the-death-of-beatrice-study-1870,A sketch of the side of a person's face who is gender ambiguous with emphasis on their jawline.
Realism,edouard-manet_the-artist-portrait-of-gilbert-marcellin-desboutin-1875,A man in a dark suit and top hat is standing next to a dog that is eating out of a tin can.
Abstract_Expressionism,betty-parsons_untitled-3,"Blue, orange, and brown shapes fill the page."
Expressionism,georges-rouault_clown-tragique-1911,A man dressed in a hat and clown clothing with dark eyes and mouth.
Baroque,anthony-van-dyck_sir-endymion-porter-and-the-artist,Two old time men wearing fancy outfits are posing in front of a tree at dusk.
Impressionism,berthe-morisot_portrait-of-madame-hubbard,A petite woman dressed in a white frilly dress lays on a bed and fans herself with a tan and black fan
Post_Impressionism,pyotr-konchalovsky_mist-landscape-with-cows-1934,Two cows and a man standing in an open grassy area surrounded by tall trees
Baroque,antoine-pesne_portrait-of-mary-susanne-dinglinger-born-gutermann,"Realistic, self portrait of a respectable young lady during the victorian era. Her clothes look expensive and she looks ready to be asked to dance or get married."
Expressionism,egon-schiele_mother-and-child-1914-1,A woman is lovingly holding a small child in her arms.
Post_Impressionism,paul-gauguin_the-great-buddha-1899,Two women are sitting nude together at the foot of a statue of a woman carrying children in her hands
Art_Nouveau_Modern,nicholas-roerich_intercession-of-the-theotokos-1903,"A religious painting of a virgin wearing a blue dress while standing on top of a castle close to some angels,"
Abstract_Expressionism,frank-lobdell_december-1958-1958,Two goblins are flying through the dark night.
Baroque,jacob-jordaens_portrait-of-magdalena-de-cuyper-1636,A man wearing a ruff and a fur stole is seated in luxurious surroundings
Abstract_Expressionism,louis-schanker_untitled,Abreact painting. Different colors and textures going every which way.
Abstract_Expressionism,gerhard-richter_courbet,"Streaks of blue, green, yellow and red fill the page."
Realism,ilya-repin_boris-godunov-with-ivan-the-terrible-1890,A bearded man in a green frock reads from a book while a seated man cranes forward.
Baroque,diego-velazquez_the-jester-don-juan-of-austria-1633,"A man wearing a red cape, red pants, and a black tophat with feathers in it is holding a stick of some sorts."
Realism,aleksey-savrasov_landscape-with-marsh-and-wooded-islands,A painting of a grassy wetlands with a small slew running up to a gathering of trees.
Naive_Art_Primitivism,marc-chagall_darkness-and-light-biblical-symbols-1972,"Two nude people embrace on the ground, flanked by animals and an angel"
Cubism,louis-marcoussis_nature-morte-1926,An abstract picture of a table set for lunch features an apple slice and a bottle of wine.
Ukiyo_e,utagawa-kuniyoshi_clearing-water-at-horikawa,Japanese Samurai loaded with arrows in his flesh trying to pull up his friend by the hand.
Northern_Renaissance,hieronymus-bosch_haywain-1500-5,Various two-legged creatures with shields and weapons are carrying a battering ram.
Impressionism,john-henry-twachtman_moonlight-flanders,It looks like a relaxing sunset on the water now.
Romanticism,ivan-aivazovsky_constantinople-sunset-1899,The sun is setting over a dock full of small boats and ships.
Romanticism,george-stubbs_a-water-spaniel,A black and white dog showing his tongue
Realism,charles-hermans_circe-the-temptress-1881,A woman wearing a fancy dress with a leg slit stands at the front of a table where a men dressed for a part is sitting.
Symbolism,nicholas-roerich_guru-guri-dhar-1931,Icy and snowy mountain tops poking through the clouds.
Romanticism,gustave-dore_samuel-blesses-saul,A person is kneeling in front of an old man who is holding a staff.
Romanticism,gustave-moreau_portrait-of-eugene-lacheur-1852,"A nonchalant man in a suit, sitting in a chair."
Expressionism,albert-bloch_walk-to-emmaus-1938,"Three figures standing close together, concentrating on the hands of the center figure, as a fourth person in the background looks on."
Baroque,osias-beert_still-life-of-fruit-1610,A table set up with dishes of a variety of foods.
Post_Impressionism,panayiotis-tetsis_tables-xii-1988,A small pipe is resting on a multi tiered table/
Baroque,jacob-jordaens_mercury-and-argos-1620,Two semi-clad men with a dog and several cows.
Impressionism,pyotr-konchalovsky_archangelsk-ships-in-port-1903,A group of ships at a dock for a body of water.
Realism,camille-corot_dunkirk-a-fisherwoman-with-shrimp,Country life. Someone is going fishing. He is carrying a netting device. It must be cold because he is overdressed.
Impressionism,arkhip-kuindzhi_forest-glade,A clearing is at the base of many tall trees.
High_Renaissance,pietro-perugino_lord-in-glory-with-angels-annunciation,"God is sitting on a throne of clouds, surrounded by angels."
Northern_Renaissance,hieronymus-bosch_the-garden-of-earthly-delights-1516-11,An owl on top of two naked people and in a tree with apples on the branches.
Cubism,salvador-dali_figure-on-the-rocks,A woman dressed in a white robe lays with her arms and legs outstretched on a stone.
Baroque,anthony-van-dyck_porrtrait-of-the-sculptor-duquesnoy-1629,A man wearing a black shirt that has a white ruffled collar is holding the head of a statue.
Realism,john-singer-sargent_miss-eden-1905,"A young, auburn-haired woman in a white Victorian dress sits in a chair before a red curtain and a bust."
Realism,efim-volkov_first-snow,"I see a desolate winter scene of open countryside with a small, unfrozen river with a rickety wooden bridge crossing it."
Realism,ilya-repin_self-portrait-1887,A man with curly hair and a beard is sitting.
Northern_Renaissance,albrecht-durer_bauer-goose-with-a-fountain-figure,A medieval looking man is sitting in the crook of a tree holding a goose.
Romanticism,theodore-gericault_portrait-of-lord-byron,A dark haired man sitting this his pointer finger on his face.
Expressionism,zinaida-serebriakova_market-marrakesh-1928,"People gathered on a market street, one with a basket on her head."
Romanticism,marcus-larson_stemship-in-sunset,A boat in the middle of the sea. Rocky waves tilting the boat to the left. During sunset times with cloudy filling the sky and a couple of birds.
Realism,pavel-fedotov_fashionable-wife-lioness,A women in a red dress is at a table in a large room.  There are a few other people around the dim room as well.
Impressionism,james-mcneill-whistler_portrait-of-george-w-vanderbilt-1903,A man in a black cosume holding something in his hand.
Realism,ivan-shishkin_in-the-birch-tree-forest-1883,A family is venturing out through the deep woods.
Contemporary_Realism,richard-whitney_burst-of-autumn,Water briskly moving in a lake or river surrounded by autumn leaved trees.
Art_Nouveau_Modern,jacek-malczewski_christ-in-emmaus,"robed christ with a halo, holding something in his hands"
Impressionism,constantin-artachino_cliffs,A pretty picture of a beach shore line with a fence and a hill.
Art_Nouveau_Modern,raphael-kirchner_a-half-of-a-virgin-1901,A women is posing six different ways wearing a long flowing gown.
Naive_Art_Primitivism,seraphine-louis_feuilles-1928,This painting shows a beautiful bouquet of flowers with vibrant pink and orange colors.
Post_Impressionism,vincent-van-gogh_old-man-in-sorrow-on-the-threshold-of-eternity-1890,Balding gray haired man sits in a chair with his head in his hands.
Romanticism,gustave-dore_hop-o-my-thumb-climbs-to-the-top-of-a-tall-tree-to-see-what-he-can-see,"A group of children on the ground, staring at a child in a tree."
Expressionism,yiannis-tsaroychis_asleep-beneath-the-fig-tree-and-a-chimney-1965,"As the city awakes to a beautiful morning, a man is still asleep on his rooftop."
Romanticism,alphonse-mucha_muse,A young women is a white dress sits by a small table.
Symbolism,nicholas-roerich_himalayas-1939,Snow has settled on the mountain peaks in winter.
Pop_Art,evelyne-axell_marine-1971,Three white birds flyig over a woman laying down.
Ukiyo_e,keisai-eisen_no-44-magome-station(1),Some Asian villagers are trekking through a path leading around the mountains
Baroque,esaias-van-de-velde_summer,Black and white illustration of a village and its inhabitants
Art_Nouveau_Modern,felix-vallotton_russian-political-writer-alexander-herzen-1895,"A simple black and white image of an angry, bearded, middle aged man."
Expressionism,martiros-saryan_ararat-1912,Caribou are moving across a snowy Alaskan field looking for grub.
Post_Impressionism,kuzma-petrov-vodkin_khvalynsk,Darkish painting of an abandon barn or building. In the far distance I see hills with clouds in the sky.
Expressionism,egon-schiele_study-of-hands-1913,Two clutching human hands and arms covered with long sleeves.
Northern_Renaissance,jan-provoost_virgin-and-child,A woman with long pony tails giving a small round ball ti a baby.
Minimalism,bruce-nauman_ah-ha-1975,"A logo print of ""AH"" on white material and a logo print of ""HA"" on black material."
Minimalism,richard-artschwager_brush-blp-1988,"A fluffy ball of brown fur, placed on a white surface."
Romanticism,jehan-georges-vibert_gulliver,A large giant is laying on the ground surrounded the many people who captured him.
Impressionism,willard-metcalf_havana-harbor,Palm trees stand above a row of homes in a waterfront town
Baroque,rembrandt_beggar-man-and-beggar-woman-conversing-1630,Two shabbily dressed elderly people stand visiting one another.
Romanticism,ivan-aivazovsky_clash-soldiers-with-murids-on-gunib-1869,Looking at a waterfall. Falling in a pool of water. Surrounded by rocks. Clear skies
Realism,thomas-eakins_monsignor-diomede-falconia-1905,A pop sitting on a chair looking to the right starring out. His uniform is light blue and white. With a cross around his neck. He is in a brown room.
Post_Impressionism,ion-pacea_lalele,"A red flower arrangement sits on a table on a yellow plate, on a red table, with a bright blue background."
Cubism,gino-severini_ballerina-1954,"A geometric painting of pink, green and blue shapes."
Romanticism,johann-koler_christ-of-the-cross-1859,"Bathed in a golden light, Jesus Christ is nailed to the Cross. At the foot of the Cross, Mother Mary swoons in the arms of another woman while a third woman kneels with a hand to her face."
Symbolism,george-frederick-watts_sir-galahad-1,A man riding a horse with women attending to him.
Symbolism,odilon-redon_centaurs,Someone walks beside a man who is part horse and part human.
Minimalism,rodolfo-arico_untitled-1973,Various pink shapes cover the whole rectangular page.
Pop_Art,richard-hamilton_a-mirrorical-return-1898,A naked woman holding a red towel is exiting what looks to be a bathroom.
Symbolism,mstislav-dobuzhinsky_street-in-munich-1901,A lone man walks down the street of a city.
Mannerism_Late_Renaissance,tintoretto_solomon-and-sheba-1542,A group of people visiting and gathering water in a castle during medieval times.
Early_Renaissance,fra-angelico_bosco-ai-frati-altarpiece,"More adoration for mother and child. People coming to pay their respects to the new born king. Among them are the elders, priests, and monks with depictions of different saints on the bottom panel."
Realism,william-adolphe-bouguereau_cupid-with-thorn-1894,"A nude cupid or angel sits on a hillock, picking at his toes."
Abstract_Expressionism,morris-graves_hibernation-1954,A circular pink essence penetrates the fragile orange barrier of a developing embryo.
Realism,ilya-repin_portrait-of-the-painter-isaak-izrailevich-brodsky-1913,"A young man is quite dapper in his hat, suit and tie."
Expressionism,henri-matisse_interior-with-black-fern-1948,A woman sits in front of a green table that has lemons and a towering plant on it
Symbolism,ferdinand-hodler_lake-geneva-with-mont-blanc-in-the-morning-light-1918,Stark mountain landscape in violet hues
Realism,jacek-malczewski_our-lady,A young girl with hair drawn back and wearing a white robe is gazing downward.
Romanticism,francisco-goya_hanibal-vencedor-contempla-italia-desde-los-alpes,A king has arrived with his army of angels to defeat the Devil.
Romanticism,francisco-goya_sad-forebodings-of-what-is-to-come-1810,A man has knelt down and is asking for forgiveness.
High_Renaissance,michelangelo_sistine-chapel-ceiling-1512,There are many different scenes painted on a ceiling.
Post_Impressionism,nikola-tanev_unknown-title,"People gathered in a square, the cities buildings beyond."
Romanticism,alexey-bogolyubov_the-battle-of-athos-1853,A large cluster of sail boats with their sails up and all sailing in the same direction
Impressionism,joaquã­n-sorolla_the-young-yachtsman-1909,A nude child standing in water placing a sail boat on the water.
Impressionism,alfred-sisley_fields-around-the-forest-1895,"The sky is a bold, bright shade of blue, and it hangs over a tree with yellowing leaves"
Early_Renaissance,filippo-lippi_the-annunciation-1450,Two holy people in Jesus' time are meetin each other.
Realism,henri-fantin-latour_summer-flowers-1880,Fresh flowers are placed in a vessel to bring in the Spring.
Northern_Renaissance,albrecht-durer_fighting-seekentauren,A woman sitting on a half animal and man among other half animal and men like creatures.
Expressionism,nikolaos-lytras_landscape,The painter left so much paint in different areas of the drawing that it appears to be in movement. It gives the illusion of motion and windiness of this natural scene.
Expressionism,arturo-souto_galician-scene-1962,A woman and a man are riding on the back of a cow with horns.
Romanticism,karl-bodmer_mexkemahuastan-chief-of-the-gros-ventres-of-the-prairies-plate-20-from-volume-1-of-travels-in-1843,An Indian is on the lookout for any animals he can kill.
Expressionism,pablo-picasso_untitled-1939-3,A vase holding yellow flowers sits on a table near an orange.
Early_Renaissance,antonello-da-messina_madonna-and-child-madonna-benson-1470,Mother holding a child while the child sits on a ledge.
Expressionism,amedeo-modigliani_girl-with-a-polka-dot-blouse-1919,"A seated woman in a pink skirt and spotted blouse, her hands clasped in her lap"
